epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,665.3,0.71393,0.32603,0.82715,0.99362,0.99674,0.99494,0.83449,0.71839,0.3155,0.83469,0.0011684,0.0011684,0.0011684
44,680.707,0.70372,0.31994,0.8283,0.99328,0.9974,0.99495,0.83762,0.71557,0.30728,0.83403,0.0011486,0.0011486,0.0011486
45,696.269,0.70268,0.32479,0.82472,0.9935,0.99552,0.99497,0.78831,0.8761,0.34237,0.85503,0.0011288,0.0011288,0.0011288
46,712.11,0.69133,0.32235,0.81954,0.98887,0.98345,0.99462,0.80392,0.80906,0.33679,0.84909,0.001109,0.001109,0.001109
47,727.692,0.705,0.32079,0.81958,0.99028,0.99494,0.9949,0.83027,0.72218,0.30845,0.83647,0.0010892,0.0010892,0.0010892
48,743.395,0.6799,0.3096,0.8221,0.99222,0.99593,0.99493,0.83358,0.72095,0.30135,0.83441,0.0010694,0.0010694,0.0010694
49,758.736,0.69448,0.31414,0.821,0.99243,0.98828,0.99484,0.83153,0.72765,0.30991,0.83746,0.0010496,0.0010496,0.0010496
50,774.186,0.69575,0.31454,0.82136,0.99096,0.99349,0.99488,0.83542,0.7045,0.30648,0.83109,0.0010298,0.0010298,0.0010298
51,789.81,0.69204,0.31206,0.82543,0.99351,0.99598,0.9949,0.84265,0.69652,0.29774,0.83003,0.00101,0.00101,0.00101
52,805.383,0.68891,0.3129,0.82528,0.98715,0.99154,0.99476,0.83025,0.73043,0.31978,0.83608,0.0009902,0.0009902,0.0009902
